experiment_id,question,raw_csv,summary_csv,memo_md,figures,status
E0,Do the real and synthetic sanity cases solve cleanly and produce sensible movement?,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E0_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E0_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e0.md,D:/workspace/EEP_0-4/figures/experiments/e0_sanity_costs.png,clean
E1,"Under the shared-budget planning setting, how do no-storage, fixed-only, mobile-only, and hybrid compare?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E1_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E1_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e1.md,D:/workspace/EEP_0-4/figures/experiments/e1_cost_breakdown.png;D:/workspace/EEP_0-4/figures/experiments/e1_dispatch.png;D:/workspace/EEP_0-4/figures/experiments/e1_mobile_heatmap.png;D:/workspace/EEP_0-4/figures/experiments/e1_hybrid_heatmap.png,clean
E2,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E2_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E2_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e2.md,D:/workspace/EEP_0-4/figures/experiments/e2_interval_scan.png,clean
E3,How much deployment delay kills the mobile advantage under a shared storage budget?,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E3_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E3_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e3.md,D:/workspace/EEP_0-4/figures/experiments/e3_delay_scan.png,clean
E4,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E4_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E4_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e4.md,D:/workspace/EEP_0-4/figures/experiments/e4_concentration_scan.png,clean
E5,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E5_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E5_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e5.md,D:/workspace/EEP_5-9/figures/experiments/e5_turnover_scan.png;D:/workspace/EEP_5-9/figures/experiments/e5_turnover_schedule_examples.png,clean
E6,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E6_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E6_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e6.md,D:/workspace/EEP_5-9/figures/experiments/e6_winner_heatmap.png;D:/workspace/EEP_5-9/figures/experiments/e6_v_mob_net_heatmap.png,clean
E7,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E7_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E7_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e7.md,D:/workspace/EEP_5-9/figures/experiments/e7_winner_heatmap.png;D:/workspace/EEP_5-9/figures/experiments/e7_v_mob_net_heatmap.png,clean
E8,Why does mobile win or lose in representative scenarios under a shared storage budget?,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E8_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E8_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e8.md,D:/workspace/EEP_5-9/figures/experiments/e8_decomposition.png;D:/workspace/EEP_5-9/figures/experiments/e8_reuse_vs_friction.png,clean
E9,Do the shared-budget planning conclusions survive realistic perturbations?,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E9_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E9_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e9.md,D:/workspace/EEP_5-9/figures/experiments/e9_robustness_v_mob_net.png,clean
E10,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E10_raw.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/sim/outputs/E10_summary.csv,/Users/tobiichieigetsu/Documents/EEP_0-4/reports/experiment_e10.md,/Users/tobiichieigetsu/Documents/EEP_0-4/figures/experiments/e10_indices_scatter.png,clean
